league_id,season,team_id,team_name
987933,2024,1,Sherlock's Mahomesboyz
987933,2024,2,Bayou City Hustle
987933,2024,4,Roys Boys
987933,2024,5,Hey Stoopid!
987933,2024,6,Its Modelo Time Foo
987933,2024,7,Vale Verga
987933,2024,8,I Play for Da Money!!! 
987933,2024,9,Team Redman
987933,2024,10,LeatherLab
987933,2024,11,Team Campos
1292462,2024,1,Couilaid Man
1292462,2024,2,Sarge's Slaughterhaus
1292462,2024,3,Team Forearm
1292462,2024,4,Team WhosGotUrBelly
1292462,2024,5,Like Butter
1292462,2024,6,ODeeZNutz .
1292462,2024,7,CTESPN
1292462,2024,10,Tanking For 1st pick
1292462,2024,11,Can You Diggs It
1292462,2024,12,Tony's Top Team
1092810,2024,2,Team Pascal
1092810,2024,3,Team Persio
1092810,2024,4,Punk Tastic
1092810,2024,5,HOU BiG PuN
1092810,2024,6, Better Pacheco Yo'Self 4 W16
1092810,2024,7,Bring your own deodorant
1092810,2024,8,Gold Rush
1092810,2024,9,Love Thy Nabers
1092810,2024,10,Ryan's Rowdy Team
1092810,2024,11,Team McKenzie
1767177,2024,1,Cook What You Made Me Do
1767177,2024,2,Team Bowling
1767177,2024,3,Team Indymoles
1767177,2024,4,Team Newton's Rule
1767177,2024,5,Team Smoles
1767177,2024,6,coma kamara chameleon 
1767177,2024,7,Hoya doin
1767177,2024,8,Team Diana
1767177,2024,9,First Lady
1767177,2024,10,Brown Nosers
1208172,2024,1,Trouble With The Snap
1208172,2024,3,Tom Mitchell Ts Triple Crown
1208172,2024,5,Ceedeez Nutz
1208172,2024,6,Avg Aznz
1208172,2024,7,Let's Go Lions
1208172,2024,9,Eric Jacques
1208172,2024,10,Tortured Coaches Department
1208172,2024,11,Kim's Team
1208172,2024,12,MMM K
1208172,2024,14,Da Jer  Bears
1124530,2024,1,Abingdon Cute Babies
1124530,2024,2,Brooklyn Fudgies
1124530,2024,3,Team Solecki
1124530,2024,5,It Was Ghost Kitty
